Loan_ID,Issue_Date,Loan_Amount,Total_Received,Region,Loan_Status,Loan_Category,Amount_Category,Month_Year
LN-1076,2023-02-25 12:51:10.270270270,10000,8850.719142678427,East,Current,Good Loan,Low,2023-02
LN-1077,2023-02-26 06:23:25.405405405,10000,8205.511496656567,West,Charged Off,Bad Loan,Low,2023-02
LN-1078,2023-02-26 23:55:40.540540540,20000,19980.87504141001,North,Fully Paid,Good Loan,Medium,2023-02
LN-1079,2023-02-27 17:27:55.675675675,10000,9010.881560369917,West,Charged Off,Bad Loan,Low,2023-02
LN-1080,2023-02-28 11:00:10.810810811,10000,7928.850780587269,West,Fully Paid,Good Loan,Low,2023-02
LN-1081,2023-03-01 04:32:25.945945946,35000,37094.044025843956,North,Fully Paid,Good Loan,High,2023-03
LN-1082,2023-03-01 22:04:41.081081081,20000,17071.12977098569,Central,Fully Paid,Good Loan,Medium,2023-03
LN-1083,2023-03-02 15:36:56.216216216,35000,32109.740055595845,West,Fully Paid,Good Loan,High,2023-03
LN-1084,2023-03-03 09:09:11.351351351,35000,37190.60955350366,West,Fully Paid,Good Loan,High,2023-03
LN-1085,2023-03-04 02:41:26.486486486,20000,18993.903967311937,Central,Fully Paid,Good Loan,Medium,2023-03
LN-1086,2023-03-04 20:13:41.621621621,5000,3733.796081416728,West,Fully Paid,Good Loan,Low,2023-03
LN-1087,2023-03-05 13:45:56.756756757,35000,37657.64973058865,West,Charged Off,Bad Loan,High,2023-03
LN-1088,2023-03-06 07:18:11.891891892,25000,23777.080530714178,West,Current,Good Loan,High,2023-03
LN-1089,2023-03-07 00:50:27.027027027,25000,20849.05614657086,South,Current,Good Loan,High,2023-03
LN-1090,2023-03-07 18:22:42.162162162,10000,7557.088290653549,Central,Charged Off,Bad Loan,Low,2023-03
LN-1091,2023-03-08 11:54:57.297297297,25000,25440.25189270296,West,Current,Good Loan,High,2023-03
LN-1092,2023-03-09 05:27:12.432432432,10000,9480.291023714055,Central,Fully Paid,Good Loan,Low,2023-03
LN-1093,2023-03-09 22:59:27.567567567,5000,4566.922183952643,East,Fully Paid,Good Loan,Low,2023-03
LN-1094,2023-03-10 16:31:42.702702702,20000,21151.140664407663,East,Current,Good Loan,Medium,2023-03
LN-1095,2023-03-11 10:03:57.837837838,20000,20308.777689796247,West,Fully Paid,Good Loan,Medium,2023-03
LN-1096,2023-03-12 03:36:12.972972973,20000,15213.39903786201,Central,Current,Good Loan,Medium,2023-03
LN-1097,2023-03-12 21:08:28.108108108,25000,20617.220677955484,Central,Fully Paid,Good Loan,High,2023-03
LN-1098,2023-03-13 14:40:43.243243243,5000,3996.9782796289314,Central,Fully Paid,Good Loan,Low,2023-03
LN-1099,2023-03-14 08:12:58.378378378,25000,24939.46292572677,South,Fully Paid,Good Loan,High,2023-03
LN-1100,2023-03-15 01:45:13.513513513,25000,17835.324347357793,East,Fully Paid,Good Loan,High,2023-03
LN-1101,2023-03-15 19:17:28.648648648,5000,4639.779369742633,Central,Fully Paid,Good Loan,Low,2023-03
LN-1102,2023-03-16 12:49:43.783783784,5000,5024.917371481381,Central,Current,Good Loan,Low,2023-03
LN-1103,2023-03-17 06:21:58.918918919,5000,5253.531273523499,South,Fully Paid,Good Loan,Low,2023-03
LN-1104,2023-03-17 23:54:14.054054054,5000,4184.163497431815,South,Fully Paid,Good Loan,Low,2023-03
LN-1105,2023-03-18 17:26:29.189189189,20000,20570.058437376105,Central,Charged Off,Bad Loan,Medium,2023-03
LN-1106,2023-03-19 10:58:44.324324324,15000,11163.790421731243,North,Current,Good Loan,Medium,2023-03
LN-1107,2023-03-20 04:30:59.459459459,15000,15578.71375040711,Central,Fully Paid,Good Loan,Medium,2023-03
LN-1108,2023-03-20 22:03:14.594594594,5000,3754.9773246639643,Central,Current,Good Loan,Low,2023-03
LN-1109,2023-03-21 15:35:29.729729729,15000,12883.723743362205,South,Fully Paid,Good Loan,Medium,2023-03
LN-1110,2023-03-22 09:07:44.864864865,15000,15283.772194677324,South,Fully Paid,Good Loan,Medium,2023-03
LN-1111,2023-03-23 02:40:00.000000000,5000,3799.8348546975476,Central,Fully Paid,Good Loan,Low,2023-03
LN-1112,2023-03-23 20:12:15.135135135,15000,11875.508371395848,Central,Current,Good Loan,Medium,2023-03
LN-1113,2023-03-24 13:44:30.270270270,25000,24722.525683930664,Central,Current,Good Loan,High,2023-03
LN-1114,2023-03-25 07:16:45.405405405,10000,9880.1461461843,South,Fully Paid,Good Loan,Low,2023-03
LN-1115,2023-03-26 00:49:00.540540540,10000,9564.59053154119,Central,Charged Off,Bad Loan,Low,2023-03
LN-1116,2023-03-26 18:21:15.675675675,5000,4887.8968889342,Central,Fully Paid,Good Loan,Low,2023-03
LN-1117,2023-03-27 11:53:30.810810811,20000,18341.79554678077,West,Fully Paid,Good Loan,Medium,2023-03
LN-1118,2023-03-28 05:25:45.945945946,5000,4003.598117813906,North,Fully Paid,Good Loan,Low,2023-03
LN-1119,2023-03-28 22:58:01.081081081,20000,16765.567948031356,East,Fully Paid,Good Loan,Medium,2023-03
LN-1120,2023-03-29 16:30:16.216216216,10000,7726.390867205702,North,Fully Paid,Good Loan,Low,2023-03
LN-1121,2023-03-30 10:02:31.351351351,5000,5316.9011226672565,West,Fully Paid,Good Loan,Low,2023-03
LN-1122,2023-03-31 03:34:46.486486486,35000,32667.48512672569,East,Current,Good Loan,High,2023-03
LN-1123,2023-03-31 21:07:01.621621621,25000,21508.5141676364,Central,Fully Paid,Good Loan,High,2023-03
LN-1124,2023-04-01 14:39:16.756756756,15000,13272.034821864796,West,Fully Paid,Good Loan,Medium,2023-04
LN-1125,2023-04-02 08:11:31.891891892,20000,21578.266716894526,Central,Fully Paid,Good Loan,Medium,2023-04
LN-1126,2023-04-03 01:43:47.027027027,35000,26646.919643625122,South,Fully Paid,Good Loan,High,2023-04
LN-1127,2023-04-03 19:16:02.162162162,15000,14017.378992100785,West,Fully Paid,Good Loan,Medium,2023-04
LN-1128,2023-04-04 12:48:17.297297297,15000,13535.332073306798,South,Current,Good Loan,Medium,2023-04
LN-1129,2023-04-05 06:20:32.432432432,5000,4722.908470869296,West,Fully Paid,Good Loan,Low,2023-04
LN-1130,2023-04-05 23:52:47.567567567,15000,10608.661102925043,West,Current,Good Loan,Medium,2023-04
LN-1131,2023-04-06 17:25:02.702702702,25000,26221.23908944152,South,Charged Off,Bad Loan,High,2023-04
LN-1132,2023-04-07 10:57:17.837837838,35000,37549.65595477058,East,Fully Paid,Good Loan,High,2023-04
LN-1133,2023-04-08 04:29:32.972972973,15000,13890.799101535255,North,Current,Good Loan,Medium,2023-04
LN-1134,2023-04-08 22:01:48.108108108,5000,4893.301647753785,Central,Fully Paid,Good Loan,Low,2023-04
LN-1135,2023-04-09 15:34:03.243243243,25000,26724.993811772958,West,Fully Paid,Good Loan,High,2023-04
LN-1136,2023-04-10 09:06:18.378378378,10000,9828.954537253594,Central,Fully Paid,Good Loan,Low,2023-04
LN-1137,2023-04-11 02:38:33.513513513,35000,26635.54660079966,South,Fully Paid,Good Loan,High,2023-04
LN-1138,2023-04-11 20:10:48.648648648,15000,13957.73016100088,Central,Fully Paid,Good Loan,Medium,2023-04
LN-1139,2023-04-12 13:43:03.783783783,5000,4713.430092765712,South,Fully Paid,Good Loan,Low,2023-04
LN-1140,2023-04-13 07:15:18.918918919,10000,8696.522685209544,Central,Fully Paid,Good Loan,Low,2023-04
LN-1141,2023-04-14 00:47:34.054054054,10000,9945.776942498891,North,Fully Paid,Good Loan,Low,2023-04
LN-1142,2023-04-14 18:19:49.189189189,20000,21474.93611815212,North,Fully Paid,Good Loan,Medium,2023-04
LN-1143,2023-04-15 11:52:04.324324324,25000,26755.685129067762,North,Charged Off,Bad Loan,High,2023-04
LN-1144,2023-04-16 05:24:19.459459460,15000,13205.036228424793,North,Current,Good Loan,Medium,2023-04
LN-1145,2023-04-16 22:56:34.594594594,5000,3726.4760916815103,North,Fully Paid,Good Loan,Low,2023-04
LN-1146,2023-04-17 16:28:49.729729730,20000,21878.729591698677,North,Fully Paid,Good Loan,Medium,2023-04
LN-1147,2023-04-18 10:01:04.864864864,25000,25888.980864459343,South,Charged Off,Bad Loan,High,2023-04
LN-1148,2023-04-19 03:33:20.000000000,20000,14997.301449626135,West,Current,Good Loan,Medium,2023-04
LN-1149,2023-04-19 21:05:35.135135134,35000,37391.78635664321,Central,Current,Good Loan,High,2023-04
LN-1150,2023-04-20 14:37:50.270270270,25000,26198.963620621285,North,Fully Paid,Good Loan,High,2023-04
LN-1151,2023-04-21 08:10:05.405405406,25000,22688.38057126072,South,Fully Paid,Good Loan,High,2023-04
LN-1152,2023-04-22 01:42:20.540540540,15000,14047.652614469576,South,Fully Paid,Good Loan,Medium,2023-04
LN-1153,2023-04-22 19:14:35.675675676,25000,21490.027038701304,South,Fully Paid,Good Loan,High,2023-04
LN-1154,2023-04-23 12:46:50.810810810,20000,14438.093110576248,West,Current,Good Loan,Medium,2023-04
LN-1155,2023-04-24 06:19:05.945945946,25000,20851.972416459008,Central,Current,Good Loan,High,2023-04
LN-1156,2023-04-24 23:51:21.081081080,15000,15317.120691588068,West,Fully Paid,Good Loan,Medium,2023-04
LN-1157,2023-04-25 17:23:36.216216216,15000,10527.792138027617,East,Charged Off,Bad Loan,Medium,2023-04
LN-1158,2023-04-26 10:55:51.351351350,35000,29168.98840367602,South,Fully Paid,Good Loan,High,2023-04
LN-1159,2023-04-27 04:28:06.486486486,20000,17185.349548727547,East,Fully Paid,Good Loan,Medium,2023-04
LN-1160,2023-04-27 22:00:21.621621622,10000,9149.582411751691,North,Fully Paid,Good Loan,Low,2023-04
LN-1161,2023-04-28 15:32:36.756756756,10000,10679.422465651043,North,Charged Off,Bad Loan,Low,2023-04
LN-1162,2023-04-29 09:04:51.891891892,25000,20963.45994365961,West,Fully Paid,Good Loan,High,2023-04
LN-1163,2023-04-30 02:37:07.027027026,35000,29357.34482654719,Central,Charged Off,Bad Loan,High,2023-04
LN-1164,2023-04-30 20:09:22.162162162,5000,4975.0024962194975,East,Current,Good Loan,Low,2023-04
LN-1165,2023-05-01 13:41:37.297297296,25000,22022.17940889807,Central,Fully Paid,Good Loan,High,2023-05
LN-1166,2023-05-02 07:13:52.432432432,35000,27644.46752115975,West,Fully Paid,Good Loan,High,2023-05
LN-1167,2023-05-03 00:46:07.567567568,20000,17619.516129061547,North,Charged Off,Bad Loan,Medium,2023-05
LN-1168,2023-05-03 18:18:22.702702702,20000,15126.856163038397,Central,Fully Paid,Good Loan,Medium,2023-05
LN-1169,2023-05-04 11:50:37.837837838,20000,15411.095892049787,Central,Charged Off,Bad Loan,Medium,2023-05
LN-1170,2023-05-05 05:22:52.972972972,20000,17986.942181915838,North,Charged Off,Bad Loan,Medium,2023-05
LN-1171,2023-05-05 22:55:08.108108108,20000,17351.403596036384,East,Fully Paid,Good Loan,Medium,2023-05
LN-1172,2023-05-06 16:27:23.243243242,35000,37307.842614953406,North,Fully Paid,Good Loan,High,2023-05
LN-1173,2023-05-07 09:59:38.378378378,35000,29573.51458763286,Central,Charged Off,Bad Loan,High,2023-05
LN-1174,2023-05-08 03:31:53.513513514,15000,13983.530101668262,East,Current,Good Loan,Medium,2023-05
LN-1175,2023-05-08 21:04:08.648648648,10000,9529.057151678122,East,Fully Paid,Good Loan,Low,2023-05
LN-1176,2023-05-09 14:36:23.783783784,20000,14104.755652706668,North,Fully Paid,Good Loan,Medium,2023-05
LN-1177,2023-05-10 08:08:38.918918918,5000,4827.074744033422,Central,Fully Paid,Good Loan,Low,2023-05
LN-1178,2023-05-11 01:40:54.054054054,35000,26992.50353617652,West,Charged Off,Bad Loan,High,2023-05
LN-1179,2023-05-11 19:13:09.189189188,5000,5422.14063493891,Central,Current,Good Loan,Low,2023-05
LN-1180,2023-05-12 12:45:24.324324324,5000,3797.325455506226,South,Current,Good Loan,Low,2023-05
LN-1181,2023-05-13 06:17:39.459459460,5000,4329.2482474540475,West,Fully Paid,Good Loan,Low,2023-05
LN-1182,2023-05-13 23:49:54.594594594,15000,11012.098008471863,East,Fully Paid,Good Loan,Medium,2023-05
LN-1183,2023-05-14 17:22:09.729729730,35000,38456.239525843266,West,Charged Off,Bad Loan,High,2023-05
LN-1184,2023-05-15 10:54:24.864864864,5000,4504.390020662486,East,Fully Paid,Good Loan,Low,2023-05
LN-1185,2023-05-16 04:26:40.000000000,20000,18763.08013856035,East,Fully Paid,Good Loan,Medium,2023-05
LN-1186,2023-05-16 21:58:55.135135134,25000,18170.764773884275,West,Fully Paid,Good Loan,High,2023-05
LN-1187,2023-05-17 15:31:10.270270270,5000,4999.920940798356,East,Current,Good Loan,Low,2023-05
LN-1188,2023-05-18 09:03:25.405405404,15000,11759.433558573515,East,Charged Off,Bad Loan,Medium,2023-05
LN-1189,2023-05-19 02:35:40.540540540,35000,37072.76005216999,South,Fully Paid,Good Loan,High,2023-05
LN-1190,2023-05-19 20:07:55.675675676,15000,11730.837842892042,Central,Fully Paid,Good Loan,Medium,2023-05
LN-1191,2023-05-20 13:40:10.810810810,5000,3881.375441327333,Central,Fully Paid,Good Loan,Low,2023-05
LN-1192,2023-05-21 07:12:25.945945946,35000,25011.695349873324,South,Charged Off,Bad Loan,High,2023-05
LN-1193,2023-05-22 00:44:41.081081080,25000,22220.66945109999,West,Fully Paid,Good Loan,High,2023-05
LN-1194,2023-05-22 18:16:56.216216216,5000,4629.682266525233,North,Fully Paid,Good Loan,Low,2023-05
LN-1195,2023-05-23 11:49:11.351351350,15000,10894.251836570114,North,Fully Paid,Good Loan,Medium,2023-05
LN-1196,2023-05-24 05:21:26.486486486,10000,10102.110466780043,North,Charged Off,Bad Loan,Low,2023-05
LN-1197,2023-05-24 22:53:41.621621622,20000,17626.31067798422,South,Fully Paid,Good Loan,Medium,2023-05
LN-1198,2023-05-25 16:25:56.756756756,15000,13646.34161596548,South,Fully Paid,Good Loan,Medium,2023-05
LN-1199,2023-05-26 09:58:11.891891892,35000,30670.678457135196,East,Fully Paid,Good Loan,High,2023-05
LN-1200,2023-05-27 03:30:27.027027026,5000,4301.526121750651,North,Current,Good Loan,Low,2023-05
LN-1201,2023-05-27 21:02:42.162162162,20000,18477.122650465746,West,Fully Paid,Good Loan,Medium,2023-05
LN-1202,2023-05-28 14:34:57.297297296,5000,3810.480491861425,West,Charged Off,Bad Loan,Low,2023-05
LN-1203,2023-05-29 08:07:12.432432432,35000,27046.993826933794,North,Fully Paid,Good Loan,High,2023-05
LN-1204,2023-05-30 01:39:27.567567568,5000,5223.571242027036,North,Fully Paid,Good Loan,Low,2023-05
LN-1205,2023-05-30 19:11:42.702702702,10000,10784.461848534533,North,Fully Paid,Good Loan,Low,2023-05
LN-1206,2023-05-31 12:43:57.837837838,20000,16986.47453023802,South,Current,Good Loan,Medium,2023-05
LN-1207,2023-06-01 06:16:12.972972972,20000,16165.957385148431,South,Fully Paid,Good Loan,Medium,2023-06
LN-1208,2023-06-01 23:48:28.108108108,35000,33515.99360534622,South,Charged Off,Bad Loan,High,2023-06
LN-1209,2023-06-02 17:20:43.243243242,10000,8634.936684392385,Central,Current,Good Loan,Low,2023-06
LN-1210,2023-06-03 10:52:58.378378378,15000,10652.318133962068,West,Fully Paid,Good Loan,Medium,2023-06
LN-1211,2023-06-04 04:25:13.513513514,5000,3812.3051947323806,West,Current,Good Loan,Low,2023-06
LN-1212,2023-06-04 21:57:28.648648648,25000,24659.72228847398,East,Current,Good Loan,High,2023-06
LN-1213,2023-06-05 15:29:43.783783784,5000,4817.847883820303,South,Fully Paid,Good Loan,Low,2023-06
LN-1214,2023-06-06 09:01:58.918918918,5000,3554.191985006967,Central,Fully Paid,Good Loan,Low,2023-06
LN-1215,2023-06-07 02:34:14.054054054,15000,11831.832971597696,Central,Charged Off,Bad Loan,Medium,2023-06
LN-1216,2023-06-07 20:06:29.189189188,5000,3962.149593176143,West,Fully Paid,Good Loan,Low,2023-06
LN-1217,2023-06-08 13:38:44.324324324,10000,9687.570974394914,South,Current,Good Loan,Low,2023-06
LN-1218,2023-06-09 07:10:59.459459458,10000,7078.842151017456,East,Charged Off,Bad Loan,Low,2023-06
LN-1219,2023-06-10 00:43:14.594594594,20000,14832.86865587659,South,Fully Paid,Good Loan,Medium,2023-06
LN-1220,2023-06-10 18:15:29.729729730,35000,35698.82519522465,North,Current,Good Loan,High,2023-06
LN-1221,2023-06-11 11:47:44.864864864,25000,19285.44662054334,South,Fully Paid,Good Loan,High,2023-06
LN-1222,2023-06-12 05:20:00.000000000,5000,4805.492215703749,North,Fully Paid,Good Loan,Low,2023-06
LN-1223,2023-06-12 22:52:15.135135134,5000,3976.365562093453,North,Fully Paid,Good Loan,Low,2023-06
LN-1224,2023-06-13 16:24:30.270270270,15000,11096.64835655607,East,Fully Paid,Good Loan,Medium,2023-06
LN-1225,2023-06-14 09:56:45.405405404,35000,27904.410673992355,West,Current,Good Loan,High,2023-06
LN-1226,2023-06-15 03:29:00.540540540,10000,9889.067727422638,South,Current,Good Loan,Low,2023-06
LN-1227,2023-06-15 21:01:15.675675676,25000,26056.964681062862,North,Current,Good Loan,High,2023-06
LN-1228,2023-06-16 14:33:30.810810810,20000,20641.75891653593,South,Fully Paid,Good Loan,Medium,2023-06
LN-1229,2023-06-17 08:05:45.945945946,10000,8588.73411847382,West,Fully Paid,Good Loan,Low,2023-06
LN-1230,2023-06-18 01:38:01.081081080,35000,33853.191911989044,West,Current,Good Loan,High,2023-06
LN-1231,2023-06-18 19:10:16.216216216,20000,15639.874363326568,Central,Fully Paid,Good Loan,Medium,2023-06
LN-1232,2023-06-19 12:42:31.351351350,15000,12258.886381566079,West,Charged Off,Bad Loan,Medium,2023-06
LN-1233,2023-06-20 06:14:46.486486486,15000,15878.01491112672,East,Current,Good Loan,Medium,2023-06
LN-1234,2023-06-20 23:47:01.621621622,5000,3526.0038470214718,North,Current,Good Loan,Low,2023-06
LN-1235,2023-06-21 17:19:16.756756756,35000,25697.119431962554,Central,Charged Off,Bad Loan,High,2023-06
LN-1236,2023-06-22 10:51:31.891891892,25000,19578.862551460275,East,Fully Paid,Good Loan,High,2023-06
LN-1237,2023-06-23 04:23:47.027027026,20000,14212.257630990556,South,Current,Good Loan,Medium,2023-06
LN-1238,2023-06-23 21:56:02.162162162,10000,7725.741740359189,North,Fully Paid,Good Loan,Low,2023-06
LN-1239,2023-06-24 15:28:17.297297296,35000,32662.58185357569,West,Charged Off,Bad Loan,High,2023-06
LN-1240,2023-06-25 09:00:32.432432432,35000,30399.94370829497,North,Fully Paid,Good Loan,High,2023-06
LN-1241,2023-06-26 02:32:47.567567568,15000,15856.030266461848,South,Current,Good Loan,Medium,2023-06
LN-1242,2023-06-26 20:05:02.702702702,5000,5134.887123476882,Central,Charged Off,Bad Loan,Low,2023-06
LN-1243,2023-06-27 13:37:17.837837838,5000,4183.634703395752,Central,Fully Paid,Good Loan,Low,2023-06
LN-1244,2023-06-28 07:09:32.972972972,20000,16075.387467450339,Central,Fully Paid,Good Loan,Medium,2023-06
LN-1245,2023-06-29 00:41:48.108108108,15000,12778.154449003601,West,Current,Good Loan,Medium,2023-06
